,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
493,1584000780000,2020-03-12 08:13:00,ETHUSD,169.3,169.3,168.98,168.99,5.375096
494,1584000840000,2020-03-12 08:14:00,ETHUSD,168.99,168.99,168.81,168.81,5.663716
495,1584000900000,2020-03-12 08:15:00,ETHUSD,168.81,168.81,168.28,168.28,25.621429
496,1584000960000,2020-03-12 08:16:00,ETHUSD,168.28,168.73,168.28,168.73,1.98770905
497,1584001020000,2020-03-12 08:17:00,ETHUSD,168.73,168.73,165.24,167.36,222.124754
498,1584001080000,2020-03-12 08:18:00,ETHUSD,167.36,168.96,167.36,168.96,9.212986
499,1584001140000,2020-03-12 08:19:00,ETHUSD,168.96,169.0,168.73,169.0,61.2794
500,1584001200000,2020-03-12 08:20:00,ETHUSD,169.0,169.0,168.84,168.84,30.9585
501,1584001260000,2020-03-12 08:21:00,ETHUSD,168.84,168.84,168.63,168.63,1.188928
502,1584001320000,2020-03-12 08:22:00,ETHUSD,168.63,169.44,168.63,169.44,31.9345
503,1584001380000,2020-03-12 08:23:00,ETHUSD,169.44,170.0,169.44,170.0,0.8182
504,1584001440000,2020-03-12 08:24:00,ETHUSD,170.0,170.58,170.0,170.58,1.055993
505,1584001500000,2020-03-12 08:25:00,ETHUSD,170.58,170.58,170.44,170.56,13.9
506,1584001560000,2020-03-12 08:26:00,ETHUSD,170.56,170.56,169.96,169.96,21.804
507,1584001620000,2020-03-12 08:27:00,ETHUSD,169.96,169.96,169.96,169.96,0.0
508,1584001680000,2020-03-12 08:28:00,ETHUSD,169.96,170.14,169.96,170.14,0.023274
509,1584001740000,2020-03-12 08:29:00,ETHUSD,170.14,170.34,170.14,170.34,0.00754
510,1584001800000,2020-03-12 08:30:00,ETHUSD,170.34,171.02,170.34,171.02,14.3
511,1584001860000,2020-03-12 08:31:00,ETHUSD,171.02,171.33,171.02,171.22,12.45
512,1584001920000,2020-03-12 08:32:00,ETHUSD,171.22,172.19,171.08,172.19,71.15186
513,1584001980000,2020-03-12 08:33:00,ETHUSD,172.19,172.19,171.25,171.25,76.0
514,1584002040000,2020-03-12 08:34:00,ETHUSD,171.25,171.61,171.25,171.27,42.680078
515,1584002100000,2020-03-12 08:35:00,ETHUSD,171.27,171.29,171.27,171.29,70.00752
